item_no,Main,Sub,Final,Thickness,Specifications,Size,Length,Width,Height,Cost,R_S_B,Sq_inch_cost,Shipping Cost,Sq. Inch $ w/shipping,Supplier,lead_time
"T0507/.250/60""X100'",Closed Cell Foam,Hyper-cel Polyurethane  (Polyether),T0507(3.5# - 6.5#) Beige,".250"" thick","FMVSS 302 (Pass @ .094"" or thicker).","60"" x 1200""",1200,60,,$466.29,(R),$0.0065,$0.0003,$0.0068,Rubberlite,7 - 10 days
"T0507/.394/60""X100'",Closed Cell Foam,Hyper-cel Polyurethane  (Polyether),T0507(3.5# - 6.5#) Beige,".394"" thick","FMVSS 302 (Pass @ .094"" or thicker).","60"" x 1200""",1200,60,,$725.26,(R),$0.0101,$0.0005,$0.0106,Rubberlite,7 - 10 days
"RE41E/.125""/42"" x 72""",Closed Cell Foam,EPDM (Blend),RE-41E (4.0# - 8.0#) Black,".125"" thick","ASTM D1056-07 2A1; ASTM D 6576-07 T2A,B C Soft; MIL-R-6130C  2-A Soft","42"" X 72""",72,42,,$13.19,(S),$0.0044,$0.0002,$0.0046,Rubberlite,7 - 10 days
"RE41E/.250""/42"" x 72""",Closed Cell Foam,EPDM (Blend),RE-41E (4.0# - 8.0#) Black,".250"" thick","ASTM D1056-07 2A1; ASTM D 6576-07 T2A,B C Soft; MIL-R-6130C  2-A Soft","42"" X 72""",72,42,,$21.43,(S),$0.0071,$0.0004,$0.0074,Rubberlite,7 - 10 days
"RE41E/.394""/42"" x 72""",Closed Cell Foam,EPDM (Blend),RE-41E (4.0# - 8.0#) Black,".394"" thick","ASTM D1056-07 2A1; ASTM D 6576-07 T2A,B C Soft; MIL-R-6130C  2-A Soft","42"" X 72""",72,42,,$32.59,(S),$0.0108,$0.0005,$0.0113,Rubberlite,7 - 10 days
"RE41E/.500""/42"" x 72""",Closed Cell Foam,EPDM (Blend),RE-41E (4.0# - 8.0#) Black,".500"" thick","ASTM D1056-07 2A1; ASTM D 6576-07 T2A,B C Soft; MIL-R-6130C  2-A Soft","42"" X 72""",72,42,,$40.19,(S),$0.0133,$0.0007,$0.0140,Rubberlite,7 - 10 days
"RE41E/.787""/42"" x 72""",Closed Cell Foam,EPDM (Blend),RE-41E (4.0# - 8.0#) Black,".787"" thick","ASTM D1056-07 2A1; ASTM D 6576-07 T2A,B C Soft; MIL-R-6130C  2-A Soft","42"" X 72""",72,42,,$64.21,(S),$0.0212,$0.0011,$0.0223,Rubberlite,7 - 10 days
"RE41E/1.000""/42"" x 72""",Closed Cell Foam,EPDM (Blend),RE-41E (4.0# - 8.0#) Black,"1.000"" thick","ASTM D1056-07 2A1; ASTM D 6576-07 T2A,B C Soft; MIL-R-6130C  2-A Soft","42"" X 72""",72,42,,$81.60,(S),$0.0270,$0.0013,$0.0283,Rubberlite,7 - 10 days
"RE42E/.125""/42"" x 72""",Closed Cell Foam,EPDM (Blend),RE-42E (4.0# - 8.0#) Black,".125"" thick","ASTM D1056-07 2A2; ASTM D 6576-07 T2A,B C Soft/Med","42"" X 72""",72,42,,$13.24,(S),$0.0044,$0.0002,$0.0046,Rubberlite,7 - 10 days
"RE42E/.250""/42"" x 72""",Closed Cell Foam,EPDM (Blend),RE-42E (4.0# - 8.0#) Black,".250"" thick","ASTM D1056-07 2A2; ASTM D 6576-07 T2A,B C Soft/Med","42"" X 72""",72,42,,$21.64,(S),$0.0072,$0.0004,$0.0075,Rubberlite,7 - 10 days
"RE42E/.394""/42"" x 72""",Closed Cell Foam,EPDM (Blend),RE-42E (4.0# - 8.0#) Black,".394"" thick","ASTM D1056-07 2A2; ASTM D 6576-07 T2A,B C Soft/Med","42"" X 72""",72,42,,$32.81,(S),$0.0108,$0.0005,$0.0114,Rubberlite,7 - 10 days
"RE42E/.500""/42"" x 72""",Closed Cell Foam,EPDM (Blend),RE-42E (4.0# - 8.0#) Black,".500"" thick","ASTM D1056-07 2A2; ASTM D 6576-07 T2A,B C Soft/Med","42"" X 72""",72,42,,$40.83,(S),$0.0135,$0.0007,$0.0142,Rubberlite,7 - 10 days
"RE42E/.787""/42"" x 72""",Closed Cell Foam,EPDM (Blend),RE-42E (4.0# - 8.0#) Black,".787"" thick","ASTM D1056-07 2A2; ASTM D 6576-07 T2A,B C Soft/Med","42"" X 72""",72,42,,$65.47,(S),$0.0217,$0.0011,$0.0227,Rubberlite,7 - 10 days
"RE42E/1.000""/42"" x 72""",Closed Cell Foam,EPDM (Blend),RE-42E (4.0# - 8.0#) Black,"1.000"" thick","ASTM D1056-07 2A2; ASTM D 6576-07 T2A,B C Soft/Med","42"" X 72""",72,42,,$83.33,(S),$0.0276,$0.0014,$0.0289,Rubberlite,7 - 10 days
"RE43E/.125""/42"" x 72""",Closed Cell Foam,EPDM (Blend),RE-43E (7.0# - 11.0#) Black,".125"" thick",ASTM D1056-07 2A3; MIL-R-6130C  2-A Medium,"42"" X 72""",72,42,,$18.95,(S),$0.0063,$0.0003,$0.0066,Rubberlite,7 - 10 days
"RE43E/.250""/42"" x 72""",Closed Cell Foam,EPDM (Blend),RE-43E (7.0# - 11.0#) Black,".250"" thick",ASTM D1056-07 2A3; MIL-R-6130C  2-A Medium,"42"" X 72""",72,42,,$31.71,(S),$0.0105,$0.0005,$0.0110,Rubberlite,7 - 10 days
"RE43E/.394""/42"" x 72""",Closed Cell Foam,EPDM (Blend),RE-43E (7.0# - 11.0#) Black,".394"" thick",ASTM D1056-07 2A3; MIL-R-6130C  2-A Medium,"42"" X 72""",72,42,,$49.31,(S),$0.0163,$0.0008,$0.0171,Rubberlite,7 - 10 days
"RE43E/.500""/42"" x 72""",Closed Cell Foam,EPDM (Blend),RE-43E (7.0# - 11.0#) Black,".500"" thick",ASTM D1056-07 2A3; MIL-R-6130C  2-A Medium,"42"" X 72""",72,42,,$60.79,(S),$0.0201,$0.0010,$0.0211,Rubberlite,7 - 10 days
"RE43E/.787""/42"" x 72""",Closed Cell Foam,EPDM (Blend),RE-43E (7.0# - 11.0#) Black,".787"" thick",ASTM D1056-07 2A3; MIL-R-6130C  2-A Medium,"42"" X 72""",72,42,,$93.85,(S),$0.0310,$0.0016,$0.0326,Rubberlite,7 - 10 days
"RE43E/1.000""/42"" x 72""",Closed Cell Foam,EPDM (Blend),RE-43E (7.0# - 11.0#) Black,"1.000"" thick",ASTM D1056-07 2A3; MIL-R-6130C  2-A Medium,"42"" X 72""",72,42,,$116.27,(S),$0.0384,$0.0019,$0.0404,Rubberlite,7 - 10 days
"SCE41B/.080""/42"" x 72""",Closed Cell Foam,Neoprene / EPDM / SBR (Blend),SCE41B (4.0# - 8.0#) Black,".080"" thick","ASTM D1056-07 2A1; ASTM D 6576-07 T2A,B C Soft; MIL-R-6130C  2-A Soft","42"" X 72""",72,42,,$9.22,(S),$0.0030,$0.0002,$0.0032,Rubberlite,7 - 10 days
"SCE41B/.125""/42"" x 72""",Closed Cell Foam,Neoprene / EPDM / SBR (Blend),SCE41B (4.0# - 8.0#) Black,".125"" thick","ASTM D1056-07 2A1; ASTM D 6576-07 T2A,B C Soft; MIL-R-6130C  2-A Soft","42"" X 72""",72,42,,$11.94,(S),$0.0039,$0.0002,$0.0041,Rubberlite,7 - 10 days
"SCE41B/.196""/42"" x 72""",Closed Cell Foam,Neoprene / EPDM / SBR (Blend),SCE41B (4.0# - 8.0#) Black,".196"" thick","ASTM D1056-07 2A1; ASTM D 6576-07 T2A,B C Soft; MIL-R-6130C  2-A Soft","42"" X 72""",72,42,,$12.45,(S),$0.0041,$0.0002,$0.0043,Rubberlite,7 - 10 days
"SCE41B/.250""/42"" x 72""",Closed Cell Foam,Neoprene / EPDM / SBR (Blend),SCE41B (4.0# - 8.0#) Black,".250"" thick","ASTM D1056-07 2A1; ASTM D 6576-07 T2A,B C Soft; MIL-R-6130C  2-A Soft","42"" X 72""",72,42,,$19.61,(S),$0.0065,$0.0003,$0.0068,Rubberlite,7 - 10 days
"SCE41B/.315""/42"" x 72""",Closed Cell Foam,Neoprene / EPDM / SBR (Blend),SCE41B (4.0# - 8.0#) Black,".315"" thick","ASTM D1056-07 2A1; ASTM D 6576-07 T2A,B C Soft; MIL-R-6130C  2-A Soft","42"" X 72""",72,42,,$23.58,(S),$0.0078,$0.0004,$0.0082,Rubberlite,7 - 10 days
"SCE41B/.394""/42"" x 72""",Closed Cell Foam,Neoprene / EPDM / SBR (Blend),SCE41B (4.0# - 8.0#) Black,".394"" thick","ASTM D1056-07 2A1; ASTM D 6576-07 T2A,B C Soft; MIL-R-6130C  2-A Soft","42"" X 72""",72,42,,$29.79,(S),$0.0099,$0.0005,$0.0103,Rubberlite,7 - 10 days
"SCE41B/.500""/42"" x 72""",Closed Cell Foam,Neoprene / EPDM / SBR (Blend),SCE41B (4.0# - 8.0#) Black,".500"" thick","ASTM D1056-07 2A1; ASTM D 6576-07 T2A,B C Soft; MIL-R-6130C  2-A Soft","42"" X 72""",72,42,,$36.51,(S),$0.0121,$0.0006,$0.0127,Rubberlite,7 - 10 days
"SCE41B/.590""/42"" x 72""",Closed Cell Foam,Neoprene / EPDM / SBR (Blend),SCE41B (4.0# - 8.0#) Black,".590"" thick","ASTM D1056-07 2A1; ASTM D 6576-07 T2A,B C Soft; MIL-R-6130C  2-A Soft","42"" X 72""",72,42,,$44.08,(S),$0.0146,$0.0007,$0.0153,Rubberlite,7 - 10 days
"SCE41B/.787""/42"" x 72""",Closed Cell Foam,Neoprene / EPDM / SBR (Blend),SCE41B (4.0# - 8.0#) Black,".787"" thick","ASTM D1056-07 2A1; ASTM D 6576-07 T2A,B C Soft; MIL-R-6130C  2-A Soft","42"" X 72""",72,42,,$58.00,(S),$0.0192,$0.0010,$0.0201,Rubberlite,7 - 10 days
"SCE41B/1.000""/42"" x 72""",Closed Cell Foam,Neoprene / EPDM / SBR (Blend),SCE41B (4.0# - 8.0#) Black,"1.000"" thick","ASTM D1056-07 2A1; ASTM D 6576-07 T2A,B C Soft; MIL-R-6130C  2-A Soft","42"" X 72""",72,42,,$74.67,(S),$0.0247,$0.0012,$0.0259,Rubberlite,7 - 10 days
"SCE41B/1.250""/42"" x 72""",Closed Cell Foam,Neoprene / EPDM / SBR (Blend),SCE41B (4.0# - 8.0#) Black,"1.250"" thick","ASTM D1056-07 2A1; ASTM D 6576-07 T2A,B C Soft; MIL-R-6130C  2-A Soft","42"" X 72""",72,42,,$89.70,(S),$0.0297,$0.0015,$0.0311,Rubberlite,7 - 10 days
"SCE41B/1.500""/42"" x 72""",Closed Cell Foam,Neoprene / EPDM / SBR (Blend),SCE41B (4.0# - 8.0#) Black,"1.500"" thick","ASTM D1056-07 2A1; ASTM D 6576-07 T2A,B C Soft; MIL-R-6130C  2-A Soft","42"" X 72""",72,42,,$107.61,(S),$0.0356,$0.0018,$0.0374,Rubberlite,7 - 10 days
"SCE41B/2.000""/42"" x 72""",Closed Cell Foam,Neoprene / EPDM / SBR (Blend),SCE41B (4.0# - 8.0#) Black,"2.000"" thick","ASTM D1056-07 2A1; ASTM D 6576-07 T2A,B C Soft; MIL-R-6130C  2-A Soft","42"" X 72""",72,42,,$130.18,(S),$0.0430,$0.0022,$0.0452,Rubberlite,7 - 10 days
"SCE42B/.080""/42"" x 72""",Closed Cell Foam,Neoprene / EPDM / SBR (Blend),SCE42B (4.0# - 8.0#) Black,".080"" thick","ASTM D1056-07 2A2; ASTM D 6576-07 T2A,B C Soft/Med","42"" X 72""",72,42,,$9.25,(S),$0.0031,$0.0002,$0.0032,Rubberlite,7 - 10 days
"SCE42B/.125""/42"" x 72""",Closed Cell Foam,Neoprene / EPDM / SBR (Blend),SCE42B (4.0# - 8.0#) Black,".125"" thick","ASTM D1056-07 2A2; ASTM D 6576-07 T2A,B C Soft/Med","42"" X 72""",72,42,,$12.05,(S),$0.0040,$0.0002,$0.0042,Rubberlite,7 - 10 days
"SCE42B/.196""/42"" x 72""",Closed Cell Foam,Neoprene / EPDM / SBR (Blend),SCE42B (4.0# - 8.0#) Black,".196"" thick","ASTM D1056-07 2A2; ASTM D 6576-07 T2A,B C Soft/Med","42"" X 72""",72,42,,$16.47,(S),$0.0054,$0.0003,$0.0057,Rubberlite,7 - 10 days
"SCE42B/.250""/42"" x 72""",Closed Cell Foam,Neoprene / EPDM / SBR (Blend),SCE42B (4.0# - 8.0#) Black,".250"" thick","ASTM D1056-07 2A2; ASTM D 6576-07 T2A,B C Soft/Med","42"" X 72""",72,42,,$19.69,(S),$0.0065,$0.0003,$0.0068,Rubberlite,7 - 10 days
"SCE42B/.315""/42"" x 72""",Closed Cell Foam,Neoprene / EPDM / SBR (Blend),SCE42B (4.0# - 8.0#) Black,".315"" thick","ASTM D1056-07 2A2; ASTM D 6576-07 T2A,B C Soft/Med","42"" X 72""",72,42,,$23.77,(S),$0.0079,$0.0004,$0.0083,Rubberlite,7 - 10 days
"SCE42B/.394""/42"" x 72""",Closed Cell Foam,Neoprene / EPDM / SBR (Blend),SCE42B (4.0# - 8.0#) Black,".394"" thick","ASTM D1056-07 2A2; ASTM D 6576-07 T2A,B C Soft/Med","42"" X 72""",72,42,,$29.90,(S),$0.0099,$0.0005,$0.0104,Rubberlite,7 - 10 days
"SCE42B/.500""/42"" x 72""",Closed Cell Foam,Neoprene / EPDM / SBR (Blend),SCE42B (4.0# - 8.0#) Black,".500"" thick","ASTM D1056-07 2A2; ASTM D 6576-07 T2A,B C Soft/Med","42"" X 72""",72,42,,$36.94,(S),$0.0122,$0.0006,$0.0128,Rubberlite,7 - 10 days
"SCE42B/.590""/42"" x 72""",Closed Cell Foam,Neoprene / EPDM / SBR (Blend),SCE42B (4.0# - 8.0#) Black,".590"" thick","ASTM D1056-07 2A2; ASTM D 6576-07 T2A,B C Soft/Med","42"" X 72""",72,42,,$45.63,(S),$0.0151,$0.0008,$0.0158,Rubberlite,7 - 10 days
"SCE42B/.787""/42"" x 72""",Closed Cell Foam,Neoprene / EPDM / SBR (Blend),SCE42B (4.0# - 8.0#) Black,".787"" thick","ASTM D1056-07 2A2; ASTM D 6576-07 T2A,B C Soft/Med","42"" X 72""",72,42,,$61.61,(S),$0.0204,$0.0010,$0.0214,Rubberlite,7 - 10 days
"SCE42B/1.000""/42"" x 72""",Closed Cell Foam,Neoprene / EPDM / SBR (Blend),SCE42B (4.0# - 8.0#) Black,"1.000"" thick","ASTM D1056-07 2A2; ASTM D 6576-07 T2A,B C Soft/Med","42"" X 72""",72,42,,$76.86,(S),$0.0254,$0.0013,$0.0267,Rubberlite,7 - 10 days
"SCE42B/1.250""/42"" x 72""",Closed Cell Foam,Neoprene / EPDM / SBR (Blend),SCE42B (4.0# - 8.0#) Black,"1.250"" thick","ASTM D1056-07 2A2; ASTM D 6576-07 T2A,B C Soft/Med","42"" X 72""",72,42,,$95.40,(S),$0.0315,$0.0016,$0.0331,Rubberlite,7 - 10 days
"SCE42B/1.500""/42"" x 72""",Closed Cell Foam,Neoprene / EPDM / SBR (Blend),SCE42B (4.0# - 8.0#) Black,"1.500"" thick","ASTM D1056-07 2A2; ASTM D 6576-07 T2A,B C Soft/Med","42"" X 72""",72,42,,$114.33,(S),$0.0378,$0.0019,$0.0397,Rubberlite,7 - 10 days
"SCE42B/2.000""/42"" x 72""",Closed Cell Foam,Neoprene / EPDM / SBR (Blend),SCE42B (4.0# - 8.0#) Black,"2.000"" thick","ASTM D1056-07 2A2; ASTM D 6576-07 T2A,B C Soft/Med","42"" X 72""",72,42,,$140.98,(S),$0.0466,$0.0023,$0.0490,Rubberlite,7 - 10 days
"SCE43B/.080""/42"" x 72""",Closed Cell Foam,Neoprene / EPDM / SBR (Blend),SCE43B (7.0# - 11.0#) Black,".080"" thick","ASTM D1056-07 2A3; ASTM D 6576-07 T2A,B C Med; MIL-R-6130C  2-A Med","42"" X 72""",72,42,,$12.51,(S),$0.0041,$0.0002,$0.0043,Rubberlite,7 - 10 days
