Account,Date,Name,Memo,Split,Debit,Credit,Balance
6000 Accounting Fees,01/07/2019,Rand Accounting,,1200 · Checking BOA 6959 MG,122,,122
6000 Accounting Fees,01/14/2019,Rand Accounting,,1200 · Checking BOA 6959 MG,72,,194
6000 Accounting Fees,01/15/2019,Rand Accounting,Deposit,1200 · Checking BOA 6959 MG,,72,122
6000 Accounting Fees,01/22/2019,Rand Accounting,,1200 · Checking BOA 6959 MG,72,,194
6000 Accounting Fees,01/28/2019,Rand Accounting,,1200 · Checking BOA 6959 MG,94,,288
6000 Accounting Fees,02/04/2019,Rand Accounting,,1200 · Checking BOA 6959 MG,72,,360
6000 Accounting Fees,02/11/2019,Rand Accounting,,1200 · Checking BOA 6959 MG,72,,432
6000 Accounting Fees,02/19/2019,Rand Accounting,,1200 · Checking BOA 6959 MG,72,,504
6000 Accounting Fees,02/25/2019,Rand Accounting,,1200 · Checking BOA 6959 MG,72,,576
6000 Accounting Fees,03/04/2019,Rand Accounting,,1200 · Checking BOA 6959 MG,72,,648
6000 Accounting Fees,03/11/2019,Rand Accounting,,1000 · Checking BOA 2589,72,,720
6000 Accounting Fees,03/18/2019,Rand Accounting,,1000 · Checking BOA 2589,72,,792
6000 Accounting Fees,03/25/2019,Rand Accounting,,1000 · Checking BOA 2589,72,,864
6000 Accounting Fees,04/01/2019,Rand Accounting,,1000 · Checking BOA 2589,72,,936
6000 Accounting Fees,04/08/2019,Rand Accounting,,1000 · Checking BOA 2589,72,,"1,008"
6000 Accounting Fees,04/15/2019,Rand Accounting,,1000 · Checking BOA 2589,72,,"1,080"
6000 Accounting Fees,04/22/2019,Rand Accounting,,1000 · Checking BOA 2589,72,,"1,152"
6000 Accounting Fees,04/29/2019,Rand Accounting,,1000 · Checking BOA 2589,72,,"1,224"
6000 Accounting Fees,05/06/2019,Rand Accounting,,1000 · Checking BOA 2589,72,,"1,296"
6000 Accounting Fees,05/13/2019,Rand Accounting,,1000 · Checking BOA 2589,72,,"1,368"
6000 Accounting Fees,05/20/2019,Rand Accounting,,1000 · Checking BOA 2589,72,,"1,440"
6000 Accounting Fees,05/28/2019,Rand Accounting,,1000 · Checking BOA 2589,72,,"1,512"
6000 Accounting Fees,06/03/2019,Rand Accounting,,1000 · Checking BOA 2589,72,,"1,584"
6000 Accounting Fees,06/10/2019,Rand Accounting,,1000 · Checking BOA 2589,72,,"1,656"
6000 Accounting Fees,06/17/2019,Rand Accounting,,1000 · Checking BOA 2589,72,,"1,728"
6000 Accounting Fees,06/24/2019,Rand Accounting,,1000 · Checking BOA 2589,72,,"1,800"
6000 Accounting Fees,07/01/2019,Rand Accounting,,1000 · Checking BOA 2589,72,,"1,872"
6000 Accounting Fees,07/08/2019,Rand Accounting,,1000 · Checking BOA 2589,72,,"1,944"
6000 Accounting Fees,07/15/2019,Rand Accounting,,1000 · Checking BOA 2589,72,,"2,016"
6000 Accounting Fees,07/22/2019,Rand Accounting,,1000 · Checking BOA 2589,72,,"2,088"
6000 Accounting Fees,07/30/2019,Rand Accounting,,1000 · Checking BOA 2589,,,"2,088"
6000 Accounting Fees,08/12/2019,Rand Accounting,CCD ID: 9IA4332921,1010 · Chase 9063 -720,216,,"2,304"
6000 Accounting Fees,08/19/2019,Rand Accounting,CCD ID: 9IA4332921,1010 · Chase 9063 -720,72,,"2,376"
6000 Accounting Fees,08/26/2019,Rand Accounting,CCD ID: 9IA4332921,1010 · Chase 9063 -720,72,,"2,448"
6000 Accounting Fees,09/03/2019,Rand Accounting,CCD ID: 9IA4332921,1010 · Chase 9063 -720,72,,"2,520"
6000 Accounting Fees,09/09/2019,Rand Accounting,CCD ID: 9IA4332921,1010 · Chase 9063 -720,72,,"2,592"
6000 Accounting Fees,09/16/2019,Rand Accounting,CCD ID: 9IA4332921,1010 · Chase 9063 -720,72,,"2,664"
6000 Accounting Fees,09/23/2019,Rand Accounting,CCD ID: 9IA4332921,1010 · Chase 9063 -720,72,,"2,736"
6000 Accounting Fees,09/30/2019,Rand Accounting,CCD ID: 9IA4332921,1010 · Chase 9063 -720,72,,"2,808"
6000 Accounting Fees,10/07/2019,Rand Accounting,CCD ID: 9IA4332921,1010 · Chase 9063 -720,72,,"2,880"
6000 Accounting Fees,10/15/2019,Rand Accounting,CCD ID: 9IA4332921,1010 · Chase 9063 -720,72,,"2,952"
6000 Accounting Fees,10/21/2019,Rand Accounting,CCD ID: 9IA4332921,1010 · Chase 9063 -720,72,,"3,024"
6000 Accounting Fees,10/28/2019,Rand Accounting,CCD ID: 9IA4332921,1010 · Chase 9063 -720,72,,"3,096"
6000 Accounting Fees,10/31/2019,HIGH Sierra QuickBooks,,2000 · Accounts Payable,570,,"3,666"
6000 Accounting Fees,11/04/2019,Rand Accounting,CCD ID: 9IA4332921,1010 · Chase 9063 -720,72,,"3,738"
6000 Accounting Fees,11/12/2019,Rand Accounting,CCD ID: 9IA4332921,1010 · Chase 9063 -720,72,,"3,810"
6000 Accounting Fees,11/18/2019,Rand Accounting,CCD ID: 9IA4332921,1010 · Chase 9063 -720,72,,"3,882"
6000 Accounting Fees,11/25/2019,Rand Accounting,CCD ID: 9IA4332921,1010 · Chase 9063 -720,72,,"3,954"
6000 Accounting Fees,11/30/2019,HIGH Sierra QuickBooks,,2000 · Accounts Payable,617.5,,"4,571.5"
6000 Accounting Fees,12/02/2019,Rand Accounting,CCD ID: 9IA4332921,1010 · Chase 9063 -720,72,,"4,643.5"
6000 Accounting Fees,12/09/2019,Rand Accounting,CCD ID: 9IA4332921,1010 · Chase 9063 -720,46,,"4,689.5"
6000 Accounting Fees,12/16/2019,Rand Accounting,CCD ID: 9IA4332921,1010 · Chase 9063 -720,46,,"4,735.5"
